City_ID,City,Country,Date,Latitude,Longitude,Cloudiness (%),Humidity (%),Max Temp (F),Wind Speed (mph)
0,quatre cocos,MU,2023-11-13 13:55:56,-20.2078,57.7625,59,74,74.35399999999996,2.26
1,bredasdorp,ZA,2023-11-13 13:55:56,-34.5322,20.0403,3,78,60.69199999999999,7.62
2,adamstown,PN,2023-11-13 13:55:56,-25.066,-130.1015,91,86,73.70600000000003,8.74
3,geraldton,AU,2023-11-13 13:55:57,-28.7667,114.6,100,83,70.484,3.6
4,port mathurin,MU,2023-11-13 13:55:57,-19.6833,63.4167,0,77,77.45,1.34
5,hawaiian paradise park,US,2023-11-13 13:55:49,19.5933,-154.9731,75,85,79.142,3.09
6,fortaleza,BR,2023-11-13 13:53:20,-3.7227,-38.5247,20,74,82.79600000000005,6.17
7,albany,US,2023-11-13 13:51:29,42.6001,-73.9662,99,64,41.791999999999994,0.45
8,college,US,2023-11-13 13:54:46,64.8569,-147.8028,100,90,26.81600000000001,2.57
9,ushuaia,AR,2023-11-13 13:54:35,-54.8,-68.3,75,65,40.92799999999996,14.31
10,waitangi,NZ,2023-11-13 13:55:57,-43.9535,-176.5597,4,87,55.70600000000003,9.25
11,mejit,MH,2023-11-13 13:55:57,10.2753,170.8646,86,81,82.43599999999998,8.99
12,margaret river,AU,2023-11-13 13:55:58,-33.95,115.0667,99,89,58.98200000000001,5.06
13,sakata,JP,2023-11-13 13:55:58,38.9167,139.855,100,71,49.45999999999998,11
14,laguna,US,2023-11-13 13:55:58,38.421,-121.4238,0,47,74.35399999999996,0.45
15,ulan-ude,RU,2023-11-13 13:55:58,51.8261,107.6098,84,85,12.361999999999956,2
16,bethel,US,2023-11-13 13:55:58,41.3712,-73.414,100,56,47.28200000000002,3.6
17,indiana,US,2023-11-13 13:55:58,40.0003,-86.2503,0,27,64.43599999999998,5.66
18,port-aux-francais,TF,2023-11-13 13:55:58,-49.35,70.2167,100,96,44.653999999999954,17.87
19,vadso,NO,2023-11-13 13:55:58,70.0744,29.7487,40,85,14.432000000000016,7.72
20,lihue,US,2023-11-13 13:55:59,21.9789,-159.3672,20,68,81.91400000000004,7.72
21,blackmans bay,AU,2023-11-13 13:55:59,-43.0167,147.3167,84,59,55.79600000000005,0.45
22,tiksi,RU,2023-11-13 13:55:59,71.6872,128.8694,100,88,8.50999999999998,4.08
23,whitehorse,CA,2023-11-13 13:55:59,60.7161,-135.0538,75,85,21.29000000000002,8.23
24,swift current,CA,2023-11-13 13:55:59,50.2834,-107.8014,0,46,49.280000000000044,6.69
25,colonia,DE,2023-11-13 13:54:34,50.9333,6.95,40,73,55.400000000000006,7.2
26,eydhafushi,MV,2023-11-13 13:55:59,5.1033,73.0708,100,74,81.96799999999999,1.77
27,ulsteinvik,NO,2023-11-13 13:54:13,62.3432,5.8487,0,76,41.01799999999999,3.13
28,san antonio de pale,GQ,2023-11-13 13:56:00,-1.4014,5.6325,68,82,80.00600000000003,4.4
29,puerto natales,CL,2023-11-13 13:54:33,-51.7236,-72.4875,75,93,36.31999999999996,8.75
30,sitka,US,2023-11-13 13:56:00,57.0531,-135.33,100,70,39.36199999999995,0
31,ribeira grande,PT,2023-11-13 13:56:00,38.5167,-28.7,75,88,61.46600000000001,3.6
32,yellowknife,CA,2023-11-13 13:56:00,62.456,-114.3525,75,86,18.391999999999996,1.03
33,taiohae,,,,,,,,
34,ma'rib,YE,2023-11-13 13:56:00,15.4591,45.3253,40,39,73.94000000000003,2.29
35,minas de marcona,PE,2023-11-13 13:56:00,-15.2119,-75.1103,74,78,62.07799999999996,6.8
36,jamestown,US,2023-11-13 13:53:02,42.097,-79.2353,0,57,51.727999999999966,5.66
37,kudat,MY,2023-11-13 13:56:01,6.8837,116.8477,46,94,78.99800000000002,0
38,shengli,CN,2023-11-13 13:56:01,37.4564,118.4856,100,33,37.16600000000001,1.9
39,tranas,SE,2023-11-13 13:56:01,58.0372,14.9782,100,84,30.65,1.92
40,takamaka,,,,,,,,
41,san patricio,US,2023-11-13 13:53:03,28.017,-97.5169,100,92,65.10199999999998,5.91
42,edinburgh of the seven seas,SH,2023-11-13 13:56:01,-37.0676,-12.3116,8,81,57.00199999999998,11.13
43,zaozersk,RU,2023-11-13 13:56:01,69.4005,32.4476,99,98,10.63399999999999,0.88
44,vila velha,BR,2023-11-13 13:56:02,-20.3297,-40.2925,0,82,84.41600000000001,7.72
45,northam,GB,2023-11-13 13:56:02,51.0333,-4.2167,22,90,55.88599999999997,11.17
46,santo antonio do ica,BR,2023-11-13 13:56:02,-3.1022,-67.9397,95,67,86.19800000000004,1.21
47,longyearbyen,SJ,2023-11-13 13:56:02,78.2186,15.6401,75,67,14.108000000000004,3.6
48,la tuque,CA,2023-11-13 13:56:02,47.4334,-72.7824,73,59,32.522000000000034,2.57
49,espargos,,,,,,,,
50,chipurupalle,IN,2023-11-13 13:56:03,18.3,83.5667,100,81,70.66400000000004,1.62
51,waat,DE,2023-11-13 13:56:03,51.1454,6.4958,7,83,55.346000000000046,5.14
52,andreyevo,RU,2023-11-13 13:56:03,55.9465,41.1505,100,84,38.15600000000003,5.51
53,susuman,RU,2023-11-13 13:56:03,62.7833,148.1667,80,99,-27.291999999999994,0.14
54,san pedro pochutla,MX,2023-11-13 13:56:03,15.7333,-96.4667,55,57,88.71799999999999,3.51
55,san jose de mayo,UY,2023-11-13 13:56:03,-34.3375,-56.7136,100,67,59.86400000000003,4.59
56,neiva,CO,2023-11-13 13:56:04,2.9273,-75.2819,20,34,96.96199999999996,1.03
57,grytviken,GS,2023-11-13 13:54:52,-54.2811,-36.5092,100,97,37.022000000000034,3.03
58,rawson,AR,2023-11-13 13:56:04,-43.3002,-65.1023,100,21,69.04399999999998,11.38
59,acarau,BR,2023-11-13 13:56:04,-2.8856,-40.12,26,76,81.33800000000005,8.09
60,kingston,JM,2023-11-13 13:54:59,17.997,-76.7936,20,66,91.50800000000001,10.29
61,avarua,CK,2023-11-13 13:54:14,-21.2078,-159.775,20,64,75.52400000000002,4.63
62,tazovsky,RU,2023-11-13 13:56:04,67.4667,78.7,6,92,0.9679999999999822,4.83
63,al khaburah,OM,2023-11-13 13:56:05,23.9886,57.0984,45,43,77.32400000000001,1.69
64,tura,IN,2023-11-13 13:56:05,25.5198,90.2201,3,81,65.858,1.44
65,hamilton,US,2023-11-13 13:54:56,39.1834,-84.5333,0,31,67.04600000000005,5.14
66,ganghwa-gun,KR,2023-11-13 13:56:05,37.7472,126.4856,100,71,33.961999999999954,0.96
67,ilulissat,GL,2023-11-13 13:56:05,69.2167,-51.1,75,63,23.288000000000046,7.2
68,petropavlovsk-kamchatsky,RU,2023-11-13 13:56:06,53.0452,158.6483,0,74,26.72599999999999,12.52
69,cable beach,,,,,,,,
70,tsetserleg,MN,2023-11-13 13:56:06,47.475,101.4542,99,81,10.867999999999984,1.81
